launch_id,cluster_name,unit_name,feature_teams,jirasprint_id,sprint_name,activation_date,complete_date,initial_commitment_sp,added_work_sp,final_commitment_sp,undone_sp,complete_sp,dev_potential_sp,scope_drop,done_total,sprint_goal,complete_initial_sp,complete_count_sg,count_sg,sprint_state,version_id,count_retro_ai,dev_approach,initial_commitment_issues,added_work_issues,final_commitment_issues,undone_issues,cancel_issues,complete_issues,scope_drop_issues,done_total_issues,done_issues,complete_initial_issues,cancel_rate
22449738,Logistics,Logistics Platform,lpop,28765000002,"#1 Q1'26",2026-01-12 00:00:00,2026-01-26 00:00:00,44.0,5.0,49.0,9.0,40.0,40.0,20.0,82.0,100.0,35.0,3,3,closed,1090,1,Scrum,28.0,5.0,33.0,5.0,0.0,28.0,17.86,84.85,28.0,23.0,0.0
22449738,Logistics,DeepMind Branded Delivery,linehaul,29370500001,"#1 Q1'26 at Linehaul",2026-01-12 00:00:00,2026-01-26 00:00:00,38.0,0.0,38.0,0.0,38.0,38.0,0.0,100.0,100.0,38.0,3,3,closed,1090,0,Scrum,17.0,0.0,17.0,0.0,0.0,17.0,0.0,100.0,17.0,17.0,0.0
22449738,Architecture,Platform Runtime,testops,28173000002,"#1 Testops 26'Q1 nilевой",2026-01-12 00:00:00,2026-01-23 00:00:00,9.5,0.0,9.5,0.0,9.5,9.5,0.0,100.0,100.0,9.5,1,1,closed,1090,8,Scrum,27.0,0.0,27.0,14.0,0.0,13.0,51.85,48.15,13.0,13.0,0.0
22449738,Logistics,Logistics Platform,lpop,29547000005,"#2 Q1'26",2026-01-28 00:00:00,2026-02-09 00:00:00,42.5,3.0,45.5,2.0,43.5,43.5,5.0,96.0,100.0,40.5,2,2,closed,1090,1,Scrum,23.0,1.0,24.0,3.0,0.0,21.0,13.04,87.5,21.0,20.0,0.0
22449738,Logistics,DeepMind Branded Delivery,linehaul,29379750002,"#2 Q1'26 at Linehaul",2026-01-26 00:00:00,2026-02-09 00:00:00,32.5,0.0,32.5,2.0,30.5,31.5,6.0,94.0,100.0,30.5,2,2,closed,1090,0,Scrum,19.0,0.0,19.0,2.0,0.0,17.0,10.53,89.47,17.0,17.0,0.0
22449738,Architecture,Platform Runtime,testops,29723000005,"#2 Testops 26'Q1 переработа",2026-01-23 00:00:00,2026-02-06 00:00:00,17.5,0.0,17.5,4.0,13.5,13.5,23.0,77.0,100.0,13.5,1,1,closed,1090,5,Scrum,29.0,1.0,30.0,17.0,0.0,13.0,55.17,43.33,13.0,13.0,0.0
22449738,Logistics,DeepMind Branded Delivery,linehaul,28317000003,"#6 Q4'25 at Linehaul",2025-12-15 00:00:00,2026-01-12 00:00:00,26.0,1.0,27.0,0.0,27.0,27.0,0.0,100.0,100.0,26.0,1,1,closed,1090,0,Scrum,11.0,1.0,12.0,0.0,0.0,12.0,0.0,100.0,12.0,11.0,0.0
22449738,FinTech,Payments,marketplace,29376750006,144 ???,2025-12-15 00:00:00,2026-01-12 00:00:00,27.0,0.0,27.0,8.0,19.0,19.0,30.0,70.0,0.0,19.0,0,1,closed,1090,0,Scrum,24.0,5.0,29.0,10.0,1.0,19.0,37.5,65.52,19.0,15.0,3.33
22449738,FinTech,Payments,marketplace,29721500001,145 ???,2026-01-12 00:00:00,2026-01-26 00:00:00,26.5,2.0,28.5,0.5,28.0,28.0,2.0,98.0,100.0,26.0,1,1,closed,1090,0,Scrum,26.0,8.0,34.0,8.0,0.0,26.0,23.08,76.47,26.0,20.0,0.0
22449738,FinTech,Payments,marketplace,29816750001,146 ???,2026-01-26 00:00:00,2026-02-09 00:00:00,34.0,8.0,42.0,7.0,35.0,35.0,6.0,83.0,100.0,32.0,1,1,closed,1090,0,Scrum,23.0,6.0,29.0,4.0,1.0,25.0,13.04,86.21,25.0,20.0,3.33
22449738,Quality,QA CoE,cthulhu,29246250001,172. Нюхлер,2026-01-12 00:00:00,2026-01-26 00:00:00,51.0,3.0,54.0,3.0,51.0,51.0,6.0,94.0,100.0,48.0,1,1,closed,1090,1,Scrum,14.0,1.0,15.0,1.0,0.0,14.0,7.14,93.33,14.0,13.0,0.0
22449738,Quality,QA CoE,cthulhu,29726000010,173. Пятиног,2026-01-26 00:00:00,2026-02-09 00:00:00,55.0,0.0,55.0,0.0,55.0,55.0,0.0,100.0,100.0,55.0,2,2,closed,1090,1,Scrum,16.0,1.0,17.0,0.0,0.0,17.0,0.0,100.0,17.0,16.0,0.0
22449738,AI Lab,ML Platform,ml platform,29370250001,1Q 2026 ML Sprint 1,2026-01-19 00:00:00,2026-01-26 00:00:00,15.0,3.0,18.0,2.0,16.0,16.0,13.0,89.0,,13.0,,,closed,1090,,Scrum,5.0,3.0,8.0,1.0,0.0,7.0,20.0,87.5,7.0,4.0,0.0
22449738,AI Lab,ML Platform,ml platform,29808500002,1Q 2026 ML Sprint 2,2026-01-26 00:00:00,2026-02-11 00:00:00,21.0,9.0,30.0,9.0,21.0,21.0,33.0,70.0,,18.0,,,closed,1090,,Scrum,11.0,5.0,16.0,4.0,0.0,12.0,23.08,75.0,12.0,10.0,0.0
22449738,AI Lab,Data Science SWAT,horizontal ml technologies,29738750001,1Q 2026 Sprint 1,2026-01-13 00:00:00,2026-01-27 00:00:00,63.5,43.0,106.5,62.0,44.5,44.5,54.0,42.0,,29.5,,,closed,1090,,Scrum,23.0,19.0,42.0,28.0,2.0,14.0,60.87,33.33,14.0,9.0,4.55
22449738,AI Lab,Data Science SWAT,horizontal ml technologies,29742000001,1Q 2026 Sprint 2,2026-01-27 00:00:00,2026-02-09 00:00:00,65.0,52.0,117.0,67.0,50.0,50.0,52.0,43.0,,35.0,,,closed,1090,,Scrum,31.0,14.0,45.0,25.0,7.0,20.0,48.48,44.44,20.0,17.0,13.46
22449738,AI Lab,ML Platform,dataset collector,28253500001,2025 Q4 Sprint 6,2025-12-15 00:00:00,2026-01-12 00:00:00,37.0,13.0,50.0,0.0,50.0,50.0,0.0,100.0,,37.0,,,closed,1090,,Scrum,13.0,3.0,16.0,0.0,0.0,16.0,0.0,100.0,16.0,13.0,0.0
22449738,AI Lab,ML Platform,dataset collector,29719750009,2026 Q1 Sprint 1,2026-01-12 00:00:00,2026-01-27 00:00:00,14.0,2.0,16.0,0.0,16.0,16.0,0.0,100.0,,14.0,,,closed,1090,,Scrum,3.0,3.0,6.0,0.0,1.0,6.0,0.0,100.0,6.0,3.0,14.29
22449738,AI Lab,ML Platform,dataset collector,29832500004,2026 Q1 Sprint 2,2026-01-27 00:00:00,2026-02-09 00:00:00,15.0,7.0,22.0,5.0,17.0,17.0,57.0,77.0,,10.0,,,closed,1090,,Scrum,5.0,2.0,7.0,1.0,0.0,6.0,33.33,85.71,6.0,4.0,0.0
22449738,Mobile,Mobile Architecture,mobile archops,28271250002,25-Q4 Sprint 6: Dec 15 - 29,2025-12-16 00:00:00,2026-01-13 00:00:00,66.0,2.0,68.0,3.0,65.0,65.0,5.0,96.0,100.0,63.0,2,2,closed,1090,0,Scrum,17.0,1.0,18.0,1.0,0.0,17.0,5.88,94.44,17.0,16.0,0.0
22449738,Marketplace,Marketplace Buyer,shopping cart,28084250001,25Q4-136,2025-12-16 00:00:00,2026-01-13 00:00:00,50.0,0.5,50.5,9.0,41.5,41.5,18.0,82.0,100.0,41.0,1,1,closed,1090,0,Scrum,26.0,1.0,27.0,4.0,0.0,23.0,15.38,85.19,23.0,22.0,0.0
